"ID";"FECHA";"REFERENCIA";"NOMBRE";"DEPARTAMENTO";"SUB1";"SUB2";"SUB3";"SUB4";"SUB5";"CANTIDAD";"TOTAL VENTA";"COSTOS"
"268901";"2018-01-12";"SUND154";"BLOQUEADOR SUNDAY FPS 50 SOBRE X10ML";"5";"23";"0";"0";"0";"0";"1";"2300";"1134"
"265608";"2018-01-02";"SUND660";"SUNDOWN PROTECTOR SOLAR 60 FPS X8 ML";"5";"23";"119";"0";"0";"0";"1";"2100";"1413.25"
"270402";"2018-01-15";"SUND660";"SUNDOWN PROTECTOR SOLAR 60 FPS X8 ML";"5";"23";"119";"0";"0";"0";"2";"4200";"2826.5"
"266043";"2018-01-03";"SUNN388";"BLUSA DAMA MANUELA SUNNTO";"1";"4";"29";"39";"0";"0";"1";"14900";"10500"
"265600";"2018-01-02";"SUNN927";"CAMISA DM SUNNTO REF 927";"1";"4";"29";"41";"0";"0";"-1";"-32000";"0"
"267446";"2018-01-07";"SUPE020";"SUECO NINA SUPER BUENO REF 020";"3";"14";"81";"0";"0";"0";"1";"14900";"8833.33"
"268925";"2018-01-12";"SUPE020";"SUECO NINA SUPER BUENO REF 020";"3";"14";"81";"0";"0";"0";"1";"14900";"8833.33"
"265544";"2018-01-02";"SUPE022";"BOMBON SUPER COCO ";"5";"24";"0";"0";"0";"0";"1";"250";"164.99"
"267008";"2018-01-06";"SUPE022";"BOMBON SUPER COCO ";"5";"24";"0";"0";"0";"0";"2";"500";"329.98"
"268196";"2018-01-10";"SUPE022";"BOMBON SUPER COCO ";"5";"24";"0";"0";"0";"0";"9";"2250";"1484.91"
"268924";"2018-01-12";"SUPE022";"BOMBON SUPER COCO ";"5";"24";"0";"0";"0";"0";"1";"250";"164.99"
"269436";"2018-01-13";"SUPE022";"BOMBON SUPER COCO ";"5";"24";"0";"0";"0";"0";"6";"1450";"989.94"
"266949";"2018-01-06";"SUPE035";"SUECO HM SUPER BUENO PINES REF E/035M";"3";"14";"84";"0";"0";"0";"1";"15000";"0"
"267514";"2018-01-08";"SUPE035";"SUECO HM SUPER BUENO PINES REF E/035M";"3";"14";"84";"0";"0";"0";"1";"15000";"0"
"265510";"2018-01-02";"SUPE048";"SUECO NINO SUPER BUENO REF E/048S";"3";"14";"82";"0";"0";"0";"1";"10000";"6666.66"
"269515";"2018-01-13";"SUPE200";"SUECO BEBE SUPER BUENO 18 AL 23 REF E/020 ";"3";"14";"80";"0";"0";"0";"1";"14000";"10000"
"266609";"2018-01-05";"SUPE232";"SET DE CARRO Y MOTO X4PCS SUPER SPEED ENCARTONADO REF HT99232";"2";"9";"68";"0";"0";"0";"1";"6000";"0"
"270029";"2018-01-15";"SUPE232";"SET DE CARRO Y MOTO X4PCS SUPER SPEED ENCARTONADO REF HT99232";"2";"9";"68";"0";"0";"0";"4";"26400";"0"
"265954";"2018-01-03";"SUPE299";"COCA RECTANGULAR X3 SUPERIM BOX REF 1029";"6";"26";"0";"0";"0";"0";"1";"9900";"7000"
"265701";"2018-01-02";"SUPE335";"SUECO DM PINES SUPER BUENO REF 035W";"3";"14";"83";"0";"0";"0";"1";"12000";"0"
"267438";"2018-01-07";"SUPE335";"SUECO DM PINES SUPER BUENO REF 035W";"3";"14";"83";"0";"0";"0";"1";"12000";"0"
"269656";"2018-01-14";"SUPE335";"SUECO DM PINES SUPER BUENO REF 035W";"3";"14";"83";"0";"0";"0";"2";"21000";"0"
"265397";"2018-01-02";"SUPE543";"LEGOS SUPER HEROES ALLIANCE REF 2015/43";"2";"9";"68";"0";"0";"0";"1";"5000";"0"
"266324";"2018-01-04";"SUPE543";"LEGOS SUPER HEROES ALLIANCE REF 2015/43";"2";"9";"68";"0";"0";"0";"3";"15000";"0"
"266817";"2018-01-05";"SUPE543";"LEGOS SUPER HEROES ALLIANCE REF 2015/43";"2";"9";"68";"0";"0";"0";"2";"10000";"0"
"267098";"2018-01-06";"SUPE543";"LEGOS SUPER HEROES ALLIANCE REF 2015/43";"2";"9";"68";"0";"0";"0";"2";"10000";"0"
"267522";"2018-01-08";"SUPE543";"LEGOS SUPER HEROES ALLIANCE REF 2015/43";"2";"9";"68";"0";"0";"0";"1";"5000";"0"
"270317";"2018-01-15";"SUPE543";"LEGOS SUPER HEROES ALLIANCE REF 2015/43";"2";"9";"68";"0";"0";"0";"1";"5000";"0"
"267922";"2018-01-10";"SURF001";"CHANCLA HOMBRE SURF REF001";"3";"14";"84";"0";"0";"0";"1";"7000";"4500"
"265810";"2018-01-03";"SURF017";"VESTIDO NINA SURFING KIDS REF 5017";"1";"2";"131";"0";"0";"0";"2";"25800";"17000"
"268709";"2018-01-11";"SURF017";"VESTIDO NINA SURFING KIDS REF 5017";"1";"2";"131";"0";"0";"0";"1";"12900";"8500"
"270132";"2018-01-15";"SURF022";"ENTERIZO NINA SURFING KIDS REF 5022";"1";"2";"127";"0";"0";"0";"1";"12900";"8500"
"265532";"2018-01-02";"SURF991";"CONJUNTO NINA SURFING KIDS VARIAS REF";"1";"2";"127";"0";"0";"0";"1";"13900";"9000"
"267597";"2018-01-08";"SURF991";"CONJUNTO NINA SURFING KIDS VARIAS REF";"1";"2";"127";"0";"0";"0";"1";"13900";"9000"
"268707";"2018-01-11";"SURF991";"CONJUNTO NINA SURFING KIDS VARIAS REF";"1";"2";"127";"0";"0";"0";"1";"13900";"9000"
"270127";"2018-01-15";"SURF991";"CONJUNTO NINA SURFING KIDS VARIAS REF";"1";"2";"127";"0";"0";"0";"2";"27800";"18000"
"267762";"2018-01-09";"SUSP220";"BRASIEL DAMA SUSPIROS";"1";"4";"28";"35";"9";"0";"1";"5900";"3900"
